image_path,original_label,mean,std,variance,min,max,median,skewness,kurtosis,entropy,energy
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0030143.jpg,0,191.38428392353495,37.020146603565244,1370.4912545494633,106,255,189.0,-0.01935386631711558,-1.18021234161967,4.846854561007862,3395084205.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0027615.jpg,0,197.90643283604425,36.60568053839129,1339.975847678759,42,255,203.0,-0.23553663743705386,-1.1333941038282969,4.759624085739752,2707037759.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0030133.jpg,0,200.0597582084708,33.93896455221279,1151.853314876356,101,255,202.0,-0.2264832544561127,-0.969128192481508,5.341758640494507,3044865113.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0026848.jpg,0,191.16324087927265,37.0999748250822,1376.408132021733,71,255,192.0,-0.044596172192789954,-1.1667181710501051,5.544938353356733,3294850796.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0027254.jpg,0,195.7872213524193,37.05201231138406,1372.8516163229558,35,255,193.0,-0.05094112484093165,-1.149394120652055,5.186463392769348,1597709118.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0027447.jpg,0,191.12785044281108,33.53401243243168,1124.5299898184826,86,255,191.0,-0.08827424889450668,-1.105475571952346,4.31192308815886,2300193429.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0027580.jpg,0,198.41440179730697,36.52738334176781,1334.2497337964564,31,255,200.0,-0.21460458208744151,-1.1018385485992694,5.168418820488505,2790035952.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0026171.jpg,0,197.55155048342812,34.663974520429804,1201.5911295530066,88,255,199.0,-0.18821705361592156,-0.9949956060453595,5.801043269602887,3091416964.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0029141.jpg,0,195.28766422923727,35.32916179372555,1248.1496730472368,111,255,198.0,-0.07957715416494483,-1.1669052149634447,4.5796936568374695,3312510873.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0027334.jpg,0,196.49789397602373,35.41978316006147,1254.5610391057742,123,255,196.0,-0.09997969495498445,-1.1603386802090008,5.296314380962635,3199085702.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0026626.jpg,0,197.86370324479208,35.722110949599376,1276.0692106954878,96,255,198.0,-0.24154493839424676,-1.0506703178720989,4.913556716639081,2610112068.0
drive/My Drive/Colab Notebooks/skin-cancer-isic-data/Train/actinic keratosis/ISIC_0030142.jpg,0,196.4480118149325,34.98766736042755,1224.1368673239272,106,255,197.0,-0.0988217646778785,-1.1215169325412135,5.382966416612677,3208210649.0
